,file,uniqueID,blur,entropy
0,data/input/things/centerpiece.jpg,centerpiece,1.0,3.6427429
0,data/input/things/centerpiece.jpg,centerpiece,2.0,4.0474443
0,data/input/things/centerpiece.jpg,centerpiece,3.0,4.1502256
0,data/input/things/centerpiece.jpg,centerpiece,4.0,4.460022
0,data/input/things/centerpiece.jpg,centerpiece,5.0,4.6806364
0,data/input/things/centerpiece.jpg,centerpiece,6.0,4.749124
0,data/input/things/centerpiece.jpg,centerpiece,7.0,4.5950875
0,data/input/things/centerpiece.jpg,centerpiece,8.0,4.591186
0,data/input/things/chalice.jpg,chalice,1.0,4.26068
0,data/input/things/chalice.jpg,chalice,2.0,4.87437
0,data/input/things/chalice.jpg,chalice,3.0,4.8861847
0,data/input/things/chalice.jpg,chalice,4.0,4.915328
0,data/input/things/chalice.jpg,chalice,5.0,4.986685
0,data/input/things/chalice.jpg,chalice,6.0,4.9895363
0,data/input/things/chalice.jpg,chalice,7.0,4.989029
0,data/input/things/chalice.jpg,chalice,8.0,4.8971443
0,data/input/things/chalk.jpg,chalk,1.0,4.0482965
0,data/input/things/chalk.jpg,chalk,2.0,4.540833
0,data/input/things/chalk.jpg,chalk,3.0,4.6572547
0,data/input/things/chalk.jpg,chalk,4.0,4.7272806
0,data/input/things/chalk.jpg,chalk,5.0,4.622953
0,data/input/things/chalk.jpg,chalk,6.0,4.5812616
0,data/input/things/chalk.jpg,chalk,7.0,4.6879444
0,data/input/things/chalk.jpg,chalk,8.0,4.861442
0,data/input/things/cheese.jpg,cheese,1.0,2.6170292
0,data/input/things/cheese.jpg,cheese,2.0,2.2475061
0,data/input/things/cheese.jpg,cheese,3.0,1.7959967
0,data/input/things/cheese.jpg,cheese,4.0,1.4155626
0,data/input/things/cheese.jpg,cheese,5.0,1.90396
0,data/input/things/cheese.jpg,cheese,6.0,4.257366
0,data/input/things/cheese.jpg,cheese,7.0,4.846672
0,data/input/things/cheese.jpg,cheese,8.0,4.8271065
0,data/input/things/chicken_wire.jpg,chicken_wire,1.0,2.7961078
0,data/input/things/chicken_wire.jpg,chicken_wire,2.0,3.4926517
0,data/input/things/chicken_wire.jpg,chicken_wire,3.0,3.6677687
0,data/input/things/chicken_wire.jpg,chicken_wire,4.0,3.8741693
0,data/input/things/chicken_wire.jpg,chicken_wire,5.0,4.069609
